target intra.RMSE intra.R2 multi.RMSE multi.R2 p.RMSE p.R2
Class_B 0.194486296170715 0 0.183760111663378 10.5078084124491 0.0439193013442933 4.9986054272259e-05
Class_CD3.T 0.240024110155037 0 0.237680239572785 1.91263503512399 0.382823404678469 0.00330926513704844
Class_CD4.T 0.234431618606981 0 0.224317242871079 7.88288956876712 0.129629201685514 0.000506458351249747
Class_CD8.T 0.243465185155354 0 0.23794094272696 4.46282875676425 0.176636017810055 0.000121204279155794
Class_DC.Mono 0.289547077681468 0 0.282829888011411 4.12811992741945 0.265113786038593 2.39245743993442e-05
Class_Macrophages 0.316386605529309 0 0.307719463701666 5.04109493698207 0.186690818811525 0.000278318241497469
Class_Mesenchymal 0.323323420885316 0 0.303226608043128 11.8414847138781 0.00545107638135395 3.64731391974422e-08
Class_Mono.Neu 0.213666811748683 0 0.2116252871171 1.78491623704836 0.399236071873215 0.00150711514008359
Class_Neutrophils 0.158963601348683 0 0.156697980178271 2.75489857255486 0.424895214099504 0.00126024560723366
Class_Other.immune 0.332910371555485 0 0.316156653579664 9.6245322113633 0.0120270850553704 4.80812058848969e-06
Class_Tumor 0.425346491079624 0 0.287610541503535 54.0212136447367 2.06308369301751e-14 1.09511552190416e-12
