target intra.RMSE intra.R2 multi.RMSE multi.R2 p.RMSE p.R2
Class_B 0.161801068804379 0 0.16080629465419 1.23525480581815 0.460201104895966 0.00737213847664355
Class_CD3.T 0.209658078481258 0 0.208393627344153 1.12917128489716 0.429981269876195 0.000682434920506661
Class_CD4.T 0.239162414613404 0 0.235933400005913 2.72587055932907 0.199020244135563 0.00107247088343168
Class_DC.Mono 0.147067336354337 0 0.146798234885672 0.467454095715664 0.488408007077709 0.021805116140396
Class_CD8.T 0.445711905530222 0 0.42768291647123 7.69741975646443 0.000403253511817707 3.33039200689691e-07
Class_Mesenchymal 0.136391773669148 0 0.133518042966353 4.15500982349693 0.352639818833205 0.000140557814284526
Class_Other.immune 0.194603785664866 0 0.191250650582583 3.19164352724353 0.309872869998216 0.000840263702463674
Class_Macrophages 0.349338188633614 0 0.341817888804054 4.14462830940742 0.0630174064428362 1.54555143783282e-06
Class_Tregs 0.189120086384383 0 0.187862791166354 1.40828572123551 0.412742207422953 0.00135848184003581
Class_Tumor 0.458478051951523 0 0.363477675716446 37.0290141994088 7.72660758923808e-14 1.25434444408254e-11
