target intra.RMSE intra.R2 multi.RMSE multi.R2 p.RMSE p.R2
Class_B 0.216737883831248 0 0.210866074348045 5.0446187266995 0.238834260386646 9.53222251321527e-05
Class_CD8.T 0.208744091005812 0 0.205307397514047 3.10584833093232 0.338068372509817 0.000306595736905945
Class_CD3.T 0.229044869079027 0 0.225849273098692 2.86390709250852 0.326131034530782 0.00085932014427464
Class_Endothelial 0.138893180370845 0 0.134232567900463 6.50092904068758 0.258464893183563 0.00240050031877844
Class_CD4.T 0.313370700904607 0 0.288005881927115 15.1207512841572 0.00478991871129554 1.4682886894155e-08
Class_DC.Mono 0.253579124528368 0 0.237720387015568 11.9122595953916 0.00735186555890454 9.04683582198988e-07
Class_Macrophages 0.33955439204149 0 0.309635689965201 16.7613547654191 1.39695794626165e-06 6.91828516943241e-09
Class_Mesenchymal 0.176105334099701 0 0.170810239749497 5.93040063931065 0.251388036473077 0.00100004262241145
Class_Neutrophils 0.137692472644886 0 0.134683052173879 4.56554569338086 0.308561883535176 0.00197141326641204
Class_Other.immune 0.310358763003127 0 0.288203907979458 13.382110407324 0.0121321544698738 1.23083242109788e-07
Class_Tregs 0.162364189163246 0 0.161064995378719 1.74948158919119 0.446501843476867 0.00411401215115087
Class_Tumor 0.466073930703007 0 0.192430490688797 82.8718548715906 1.8659059384985e-20 1.24446402815377e-16
