target intra.RMSE intra.R2 multi.RMSE multi.R2 p.RMSE p.R2
Class_CD3.T 0.147791826952913 0 0.146474623358836 2.13392032545456 0.425558578469999 0.00501474841133495
Class_CD4.T 0.211977088615174 0 0.206706248483376 4.59802918908264 0.283445293916371 0.000162506192950923
Class_CD8.T 0.29847028480641 0 0.284664710496105 8.82761438150653 0.0235185864274481 4.86368129447881e-06
Class_DC.Mono 0.240676085107536 0 0.216215595611341 18.7426152032985 0.00332563688867799 1.16188759716864e-06
Class_Endothelial 0.187221645009945 0 0.17963162952482 7.85586521842346 0.129362696128195 0.000366459894721816
Class_Macrophages 0.398788866528681 0 0.348601909940714 23.3493121417581 7.97215587629732e-09 1.89142607161691e-09
Class_Mono.Neu 0.1810019220066 0 0.178219524248395 2.82642192511606 0.347118207538767 0.000119028580643103
Class_Other.immune 0.176433282791528 0 0.171460048481869 5.03520114131244 0.301768369238462 0.00115122611501512
Class_Mesenchymal 0.204243225300887 0 0.193748979773706 10.1996808003831 0.121815658259338 0.000185748260844157
Class_Tumor 0.489827616217573 0 0.235167198529548 76.8017685015029 2.52851815873619e-13 4.66381945963596e-14
