target intra.RMSE intra.R2 multi.RMSE multi.R2 p.RMSE p.R2
Class_B 0.250789951907366 0 0.237731071827808 9.7395422490793 0.0725514984498963 3.99141885959997e-05
Class_CD3.T 0.18380189072512 0 0.180207085627983 3.67401203779726 0.351210466149228 0.00186092868713554
Class_CD4.T 0.268006904237285 0 0.249993118110163 12.7815865243031 0.00014501284218913 5.21199497980121e-06
Class_CD8.T 0.268898653826465 0 0.254797388130377 9.89770538849233 0.0408487126605509 1.81805669881675e-06
Class_Endothelial 0.130729469737013 0 0.128922853659272 2.73962756537612 0.425028878202968 0.00329333685295103
Class_DC.Mono 0.25296847564176 0 0.247953519870733 3.77807679389961 0.235405554431014 4.72678501363566e-05
Class_Macrophages 0.319110157637518 0 0.303462312446735 9.22424997537489 0.0133073324794921 4.26157503163658e-05
Class_Mesenchymal 0.320935891442119 0 0.293339949644888 16.2157488636173 1.8079749864279e-05 6.57687433962186e-08
Class_Other.immune 0.203182371511342 0 0.199102686952128 3.79208510064839 0.276448273639764 8.72345237660173e-06
Class_Tumor 0.480341757581188 0 0.318236903294206 55.9058942630641 6.07447866291328e-13 7.31887306481915e-12
