target,imp
B7H3,256.1946039713688
FoxP3,185.4250078066951
Lag3,193.0531706977747
CD4,298.6634848427421
CD16,272.0497180276888
CD56,201.5964437923987
OX40,194.68341636333452
PD1,253.99726563170458
CD31,399.32580403947037
PD.L1,285.61149717264215
EGFR,445.4393021385342
Ki67,428.8172615861342
CD209,289.35244320333885
CD11c,231.61809747350674
CD138,378.67940275647396
CD163,185.78932866075647
CSF.1R,281.5910636496327
CD8,243.40342036024825
CD3,286.9264109401863
IDO,243.62071862291378
Keratin17,290.22424629407493
CD63,266.9866476514071
CD45RO,206.40458408286585
CD20,181.57216825904467
p53,312.38985418336944
Beta.catenin,376.43899058062726
HLA.DR,245.29888057007102
CD11b,167.6354288213131
CD45,219.28458652131042
H3K9ac,381.2010094996409
Pan.Keratin,414.7098074439189
H3K27me3,368.6850479446334
phospho.S6,403.0778582688706
MPO,190.42841402722644
Keratin6,362.0336405802438
HLA_Class_1,340.9356779423503
