target intra.RMSE intra.R2 multi.RMSE multi.R2 p.RMSE p.R2
Class_B 0.192546518261406 0 0.188156480490444 4.35378147656461 0.263590788342089 7.87868739142774e-05
Class_CD3.T 0.252425872144647 0 0.250923591263622 1.12096770764974 0.406790716657616 0.0119514133088769
Class_CD4.T 0.22855608892862 0 0.213311600591332 12.6856982832404 0.00224554109408949 1.56446103344562e-05
Class_CD8.T 0.36596455170048 0 0.342008798062795 12.3230866004297 0.000640250235645131 5.61899400448086e-07
Class_DC.Mono 0.213918470575001 0 0.21144976132905 2.03882607355185 0.405420006508524 0.000944021152198076
Class_Endothelial 0.14671718934241 0 0.144510238966764 2.91778298983712 0.416437680016266 0.00377010730498001
Class_Mesenchymal 0.177422323121515 0.000503593531909763 0.170521475227503 7.4468387519825 0.0202676772803441 0.000919408533920886
Class_Macrophages 0.360826781484165 0 0.345566564186562 8.13559306897983 0.00239757546951034 1.77713671821969e-08
Class_Tumor 0.387240388258542 0 0.221067881686471 67.2546354643439 3.4381955453418e-18 1.06367626538978e-13
Class_Other.immune 0.412193747361007 0 0.381049425006051 14.2928927039134 5.20147159644082e-06 5.02876322274231e-07
